FILENAME,Filename English v.2.1,Dataset,Name,Nb inputs,Fq DKO,Fq DKN,Fq  TOT,% DKO,% DKN,% TOT,Nb names,Modal name,Fq modal name,% Name Agreement (/Fq inputs),% Name Agreement (/Fq names),Nb diff names,H-value,Category 2-resp,Nb category (answer1),Nb category (answer2),Nb category (all answers),Modal category,Fq (answer1),Fq (answer2),% Category Agreement,% Category Agreement (all answers),Hcat-value,Familiarity,Fam_Nb_inputs,Fam_Mean,Fam_StDev,Visual Complexity,Nb inputs,Mean,StDev,Object Agreement,Nb inputs,Mean,StDev,Viewpoint Agreement,Nb inputs,Mean,StDev,Manipulability,Nb inputs,Mean,StDev
50dollarbill,50dollarbill,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,0,33,Jewel & money,32,0,97%,97%,0.2,,,,,,,,,,,,,,,,,,,,
8ball,8ball,BOSS-2014 (v.2),,42,0,0,1,0%,0%,2%,41,8 ball,20,48%,49%,7,2.19,,33,1,34,Gamestoy & entertainment,28,0,85%,82%,0.61,,42,4.5,0.86,,42,1.6,0.8,,,,,,,,,,34,3.06,1.32
accordion01,accordion01,BOSS-2014 (v.2),,42,0,2,7,0%,5%,17%,33,Accordion,32,76%,97%,2,0.2,,33,0,33,Musical instrument,33,0,100%,100%,0,,42,4.26,0.94,,42,3.33,1.32,,32,4.03,0.9,,32,3.84,1.27,,34,4.12,1.09
acousticguitar02,accousticguitar02,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,guitar,30,71%,71%,4,1.1,,33,0,33,Musical instrument,33,0,100%,100%,0,,42,4.52,0.77,,42,2.45,1.11,,32,3.94,1.37,,32,3.69,1.23,,34,4.71,0.58
aceofdiamond,ace,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,Ace of Diamond,11,26%,26%,8,2.65,,33,0,33,Gamestoy & entertainment,33,0,100%,100%,0,,42,4.76,0.69,,42,1.33,0.53,,,,,,,,,,34,3.03,1.38
acorn,acorn,BOSS-2014 (v.2),,41,0,2,1,0%,5%,2%,38,Acorn,30,73%,79%,5,1.07,,33,1,34,Natural element,16,1,48%,50%,1.17,,41,4.29,0.93,,41,2.29,1.12,,32,3.94,1.16,,32,3.78,1.39,,34,1.38,0.55
addressplate,addressplaque,BOSS-2014 (v.2),,42,0,2,2,0%,5%,5%,38,Address,7,17%,18%,15,3.52,,32,1,33,Building infrastructure,10,0,31%,30%,2.11,,42,4.4,0.89,,42,1.67,0.82,,,,,,,,,,34,1.82,1.11
adjustablewrench01b,adjustablewrench01b,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,0,33,Hand labour tool & accessory,30,0,91%,91%,0.52,,,,,,,,,,,,,,,,,,,,
africanelephant,africanelephant,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,elephant,40,95%,95%,2,0.28,,33,0,33,Mammal,33,0,100%,100%,0,,42,4.48,0.99,,42,2.95,1.51,,32,4.34,1.04,,32,3.69,1.45,,34,2.68,1.72
airconditioner,airconditioner,BOSS-2014 (v.2),,41,1,0,2,2%,0%,5%,38,air conditioner,20,49%,53%,11,2.45,,32,1,33,Electronic device & accessory,20,0,63%,61%,1.62,,40,4.5,0.72,,41,2.85,1.3,,,,,,,,,,33,2.39,1.27
