FILENAME,Filename French,Filename English v.2.1,Excluded in the article,Name,Nb inputs,Fq DKO,Fq DKN,Fq TOT,% DKO,% DKN,% TOT,Nb Names,Modal name,Fq modal name,% Name Agreement (/Fq inputs),% Name Agreement (/Fq names),Nb diff names,H-value,Category 1-resp,Nb category,Modal category,Fq modal category,% Category Agreement,Hcat-value,Familiarity,Fam_Nb_inputs,Fam_Mean,Fam_StDev,Visual Complexity,Nb inputs,Mean,StDev,Object Agreement,Nb inputs,Mean,StDev,Viewpoint Agreement,Nb inputs,Mean,StDev,Manipulability,Nb inputs,Mean,StDev
50dollarbill,billet_de_banque,50dollarbill,,,38,0,0,0,0%,0%,0%,38,50$ bill,14,37%,37%,14,2.79,,39,Jewels&money,33,85%,0.84,,39,4.46,1.02,,39,2.95,1.59,,32,4.28,1.35,,33,4.18,1.24,,33,1.70,1.21
adjustablewrench01b,cle_a_molette01b,adjustablewrench01b,,,39,0,7,0,0%,18%,0%,32,wrench,25,64%,78%,6,1.22,,39,Handlabourtools&accessories,38,97%,0.17,,39,3.77,1.31,,39,2.36,1.01,,32,4.50,0.95,,32,3.88,1.18,,32,2.91,1.53
alarmclock01,radio_reveille-matin,alarmclock,,,39,2,1,0,5%,3%,0%,36,alarm clock,16,41%,44%,8,2.32,,37,Electronic devices&accessories,32,86%,0.83,,37,4.38,0.95,,38,3.08,1.10,,33,3.12,1.36,,33,3.73,1.28,,33,2.09,1.40
almond,amandes,almonds,,,39,0,0,0,0%,0%,0%,39,almonds,28,72%,72%,5,1.28,,39,Food,30,77%,0.90,,39,4.33,1.18,,39,2.13,1.17,,33,4.45,0.87,,33,4.58,0.71,,33,1.33,0.65
antenna,antenne,antenna,,,39,4,2,2,10%,5%,5%,31,antenna,23,59%,74%,6,1.34,,35,Electronic devices&accessories,29,83%,0.97,,37,3.24,1.50,,38,3.05,1.09,,33,3.00,1.41,,33,3.64,1.41,,33,1.94,1.14
apple07,pomme07,apple07,,,39,0,0,0,0%,0%,0%,39,apple,37,95%,95%,3,0.34,,39,Food,31,79%,0.84,,39,4.56,0.88,,38,1.79,0.87,,33,4.24,1.12,,33,4.42,0.94,,32,2.44,1.54
apricot,abricot,apricot,yes,,38,0,1,0,0%,3%,0%,37,peach,23,61%,62%,5,1.45,,38,Food,29,76%,0.91,,38,4.39,1.05,,38,1.97,1.10,,33,4.36,1.03,,33,3.61,1.27,,33,1.45,0.94
arugula,salade03,arugula,yes,,39,2,5,1,5%,13%,3%,31,spinach,8,21%,26%,17,3.64,,37,Food,20,54%,1.00,,37,3.36,1.48,,37,2.68,1.08,,33,3.55,1.33,,33,3.45,1.60,,33,1.36,0.70
ashtray01,cendrier01,ashtray01,,,39,0,2,0,0%,5%,0%,37,ashtray,34,87%,92%,4,0.53,,36,others,16,44%,1.86,,37,3.92,1.34,,38,2.63,1.44,,33,4.12,1.05,,33,4.45,1.00,,33,3.24,1.41
asparagus,asperges,asparagus,,,39,3,3,2,8%,8%,5%,31,asparagus,25,64%,81%,5,1.06,,38,Food,20,53%,1.43,,38,4.03,1.37,,38,2.34,1.26,,33,4.12,0.99,,33,3.36,1.41,,33,1.48,1.18
avcable,cable_audio01,avcable,,,39,1,2,0,3%,5%,0%,36,cables,10,26%,28%,19,3.59,,38,Electronic devices&accessories,38,100%,0.00,,39,3.82,1.25,,39,2.44,1.14,,32,3.44,1.29,,32,3.44,1.19,,31,1.74,0.96
avocado01,avocat,avocado01,,,39,0,1,0,0%,3%,0%,38,avocado,34,87%,89%,3,0.57,,39,Food,31,79%,0.84,,39,4.31,1.10,,39,2.54,1.19,,33,4.45,1.00,,33,3.61,1.34,,33,1.45,0.94
axe01,hache,axe01,,,39,1,3,1,3%,8%,3%,34,axe,26,67%,76%,8,1.43,,39,Handlabourtools&accessories,30,77%,1.34,,39,3.72,1.34,,39,2.38,1.09,,33,4.15,1.09,,33,3.61,1.37,,33,3.97,1.29
backpack01a,sac_a_dos01a,backpack01a,,,39,0,0,0,0%,0%,0%,39,backpack,30,77%,77%,7,1.34,,38,Outdoor activity&sport items,18,47%,1.61,,39,4.67,0.74,,39,3.38,1.39,,32,4.09,0.93,,32,3.34,1.21,,32,3.28,1.55
bag,valise01,bag,,,39,0,1,0,0%,3%,0%,38,bag,14,36%,37%,13,3.06,,37,others,17,46%,1.93,,37,3.76,1.26,,37,2.97,1.28,,32,3.41,1.19,,31,3.03,1.49,,31,2.23,1.38
bagel01,baggel,bagel,,,39,0,0,1,0%,0%,3%,38,bagel,33,85%,87%,2,0.56,,39,Food,38,97%,0.17,,39,4.49,0.91,,39,2.62,1.35,,33,4.82,0.46,,33,4.61,0.75,,33,1.88,1.27
bagofpowder,sac_de_poudre,bagofpowder,yes,,38,7,4,0,18%,11%,0%,27,bag,4,11%,15%,16,3.78,,30,Food,17,57%,1.87,,31,3.19,1.66,,31,2.42,1.34,,,,,,,,,,,,
bagtie,attache-pain,bagtie,yes,,37,3,18,0,8%,49%,0%,16,bag tie,3,8%,19%,12,3.45,,35,others,16,46%,2.21,,36,3.89,1.41,,36,1.75,1.20,,,,,,,,,,,,
baguette01,pain,baguette01,,,39,0,1,0,0%,3%,0%,38,bread,19,49%,50%,6,1.58,,38,Food,36,95%,0.35,,39,4.46,0.97,,39,2.44,1.50,,33,3.15,1.39,,33,3.64,1.34,,33,1.91,1.21
ball02,balle02,ball02,,,39,3,2,0,8%,5%,0%,34,ball,30,77%,88%,3,0.62,,34,Gamestoys&entertainment,21,62%,1.61,,36,3.39,1.40,,37,1.65,1.09,,32,3.47,1.34,,32,4.06,1.32,,32,3.50,1.41
balloon01b,baloune01b,balloon01b,,,39,0,0,0,0%,0%,0%,39,balloon,34,87%,87%,6,0.85,,39,Gamestoys&entertainment,21,54%,1.84,,39,4.44,0.94,,39,1.90,0.99,,32,4.06,1.22,,32,3.19,1.45,,31,3.29,1.47
banana01,banane01a,banana01,,,39,0,0,0,0%,0%,0%,39,banana,39,100%,100%,1,0.00,,39,Food,31,79%,0.84,,38,4.71,0.61,,38,2.00,1.07,,32,4.75,0.57,,33,3.85,1.00,,33,3.39,1.62
bandage,bandage,bandage,,,39,3,6,4,8%,15%,10%,26,bandage,11,28%,42%,11,2.82,,36,Medical&instrument&accessories,24,67%,1.66,,37,3.84,1.21,,37,2.43,1.14,,33,3.58,1.50,,33,3.67,1.31,,33,2.45,1.35
bandaid01,pansement01,bandaid01,,,38,3,3,0,8%,8%,0%,32,band-aid,24,63%,75%,6,1.35,,34,Medical&instrument&accessories,16,47%,1.80,,37,3.89,1.33,,36,1.86,0.80,,33,4.00,1.27,,33,3.64,1.39,,33,3.21,1.49
baseball01a,balle_de_baseball01a,baseball01a,,,39,0,0,0,0%,0%,0%,39,baseball,34,87%,87%,5,0.80,,39,Outdoor activity&sport items,35,90%,0.56,,39,3.82,1.23,,39,2.44,1.21,,33,4.73,0.63,,33,4.82,0.39,,33,3.48,1.42
bastingbrush,Pinceau_a_cuisson,bastingbrush,,,39,3,5,1,8%,13%,3%,30,brush,11,28%,37%,17,3.41,,36,Kitchen&utensils,21,58%,1.90,,37,3.43,1.56,,37,2.03,1.12,,33,2.61,1.52,,33,2.79,1.39,,33,3.03,1.49
battery02b,pile02b,battery02b,,,38,0,0,0,0%,0%,0%,38,battery,36,95%,95%,3,0.35,,37,Electronic devices&accessories,31,84%,0.84,,38,4.58,0.72,,38,2.18,0.98,,33,3.73,1.38,,33,3.48,1.25,,33,1.61,1.00
