trialType,cndTyp,lag,T1_loc,T2_loc,stimLen,isi,skipProb,phase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,textbox.started,textbox.stopped,img0,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,img11,img12,img13,img14,img15,img16,option1.started,option1.stopped,text_2.started,text_2.stopped,skip1,skip2,lastPresent,displayPicture.started,displayPicture.stopped,polygon_2.started,polygon_2.stopped,opt1_t1,polygon_4.started,polygon_4.stopped,cor1,option1_t1.started,option1_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon_5.started,polygon_5.stopped,cor2,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,textbox_2.started,textbox_2.stopped,textbox_3.started,textbox_3.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,textbox_6.started,textbox_6.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,textbox_4.started,textbox_4.stopped,option1_3.started,option1_3.stopped,text_7.started,text_7.stopped,curStimTim,stimOFF0,stimON0,stimOFF1,stimON1,stimOFF2,stimON2,stimOFF3,stimON3,stimOFF4,stimON4,stimOFF5,stimON5,stimOFF6,stimON6,stimOFF7,stimON7,stimOFF8,stimON8,stimOFF9,stimON9,stimOFF10,stimON10,stimOFF11,stimON11,stimOFF12,stimON12,stimOFF13,stimON13,displayPicture_4.started,displayPicture_4.stopped,polygon_16.started,polygon_16.stopped,polygon_7.started,polygon_7.stopped,option1_t1_2.started,option1_t1_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon_17.started,polygon_17.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,textbox_5.started,textbox_5.stopped,B0,B1,stimOFF14,stimON14,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,space,2.97740500000009,25.1114563000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2021_Apr_09_1054,AB_pic_singleT2,2021.1.2,60.00996165378676,
AB,lag7,7,4,11,0.2,0.05,0.5,,0,0,0,2,,,,,,,,,25.1114563000001,None,snowman.jpg,rooster.jpg,smokingpipe.jpg,pig.jpg,seagull.jpg,candycane01a.jpg,mailbox02.jpg,bathtub.jpg,church.jpg,jellybean.jpg,triangle.jpg,beaver.jpg,cross01.jpg,platypus.jpg,granolabar01.jpg,crab01.jpg,motorcycle.jpg,28.144940300000144,30.895251599999938,30.628445700000157,None,0,1,13,31.145255500000076,None,31.145255500000076,None,.\resources\triangle.jpg,34.64459249999982,None,1,34.64459249999982,None,right,1.0044401000000107,34.64459249999982,None,35.69449540000005,None,1,left,2.8184055000001536,35.69449540000005,None,35.69449540000005,None,38.56135559999984,None,None,39.561294219999944,None,39.561294219999944,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2021_Apr_09_1054,AB_pic_singleT2,2021.1.2,60.00996165378676,
AB,lag3,3,3,6,0.2,0.05,0.5,,0,1,1,5,,,,,,,,,,,stool01.jpg,cigar.jpg,pirateflag.jpg,motorcycle.jpg,honeybee.jpg,ladder.jpg,lizard.jpg,drumstick.jpg,telescope.jpg,brownsugar.jpg,cloud.jpg,bumpercar.jpg,electricguitar01.jpg,tarantula.jpg,bluecheese.jpg,scorpion.jpg,badmintonracket.jpg,39.56144839999979,42.311087699999916,42.044439299999794,None,1,0,8,42.544002999999975,None,42.544002999999975,None,.\resources\ladder.jpg,44.81049989999974,None,1,44.81049989999974,None,left,1.4784113999999136,44.81049989999974,None,46.32706869999993,None,1,right,0.8178642000002583,46.32706869999993,None,46.32706869999993,None,47.16033160000006,None,None,48.1602928199999,None,48.1602928199999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2021_Apr_09_1054,AB_pic_singleT2,2021.1.2,60.00996165378676,
AB,lag1,1,4,5,0.2,0.05,0.5,,0,2,2,12,,,,,,,,,,,christmastree.jpg,swordfish.jpg,ostrich.jpg,shower.jpg,basketball01.jpg,bench01.jpg,foot.jpg,saxophone.jpg,accordion01.jpg,chainsaw.jpg,totempole.jpg,electricguitar01.jpg,greathornowl.jpg,uprightpiano01.jpg,brownsugar.jpg,fishingrod.jpg,rose.jpg,48.17694459999984,50.927129199999854,50.66048860000001,None,0,1,7,51.16009290000011,None,51.16009290000011,None,.\resources\basketball01.jpg,53.176642699999775,None,1,53.176642699999775,None,right,1.080216500000006,53.176642699999775,None,54.29315659999975,None,1,left,1.5239496999997755,54.29315659999975,None,54.29315659999975,None,55.86010660000011,None,None,56.86008522000011,None,56.86008522000011,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2021_Apr_09_1054,AB_pic_singleT2,2021.1.2,60.00996165378676,
AB,lag6,6,5,11,0.2,0.05,0.5,,0,3,3,0,,,,,,,,,,,hotdogweiner.jpg,tie02.jpg,birthdaycandle.jpg,scooter.jpg,steeringwheel.jpg,panda.jpg,horseshoe.jpg,granolabar01.jpg,well.jpg,tent.jpg,rubikcube.jpg,seal.jpg,lawnmower.jpg,arrow02.jpg,badmintonracket.jpg,pigeon.jpg,greathornowl.jpg,56.87672650000013,59.626502399999936,59.343235899999854,None,1,0,13,59.842750499999966,None,59.842750499999966,None,.\resources\rubikcube.jpg,63.35916989999987,None,1,63.35916989999987,None,left,1.8417113000000427,63.35916989999987,None,65.24237289999974,None,1,right,1.0544662000002063,65.24237289999974,None,65.24237289999974,None,66.34229700000014,None,None,67.34261641999993,None,67.34261641999993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2021_Apr_09_1054,AB_pic_singleT2,2021.1.2,60.00996165378676,
AB,lag3,3,5,8,0.2,0.05,0.5,,0,4,4,10,,,,,,,,,,,mattress.jpg,guitarcase.jpg,snowshoe.jpg,motorcycle.jpg,chainsaw.jpg,cork02.jpg,microphone01.jpg,makiroll.jpg,daddylonglegs.jpg,dolphin01.jpg,golfball.jpg,bull.jpg,penguin.jpg,horse.jpg,bowlingpin.jpg,frisbee.jpg,skippingrope.jpg,67.35931829999981,70.1090807999999,69.84254959999998,None,0,1,10,70.34199200000012,None,70.34199200000012,None,.\resources\makiroll.jpg,73.10846469999979,None,1,73.10846469999979,None,right,1.028462799999943,73.10846469999979,None,74.17505089999986,None,1,left,1.4898396000003231,74.17505089999986,None,74.17505089999986,None,75.70827950000012,None,None,76.70861202000006,None,76.70861202000006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2021_Apr_09_1054,AB_pic_singleT2,2021.1.2,60.00996165378676,
AB,lag4,4,3,7,0.2,0.05,0.5,,0,5,5,1,,,,,,,,,,,acousticguitar02.jpg,birdnest.jpg,lion.jpg,bull.jpg,sheep.jpg,ladybug03.jpg,knee.jpg,ladder.jpg,motorcycle.jpg,electrictoothbrush01c.jpg,firehydrant.jpg,cocktailshrimp02.jpg,mattress.jpg,dragonfly01.jpg,dartboard.jpg,seal.jpg,duck01.jpg,76.70865129999993,79.45850410000003,79.19174359999988,None,0,1,9,79.69135849999975,None,79.69135849999975,None,.\resources\knee.jpg,82.20783449999999,None,1,82.20783449999999,None,right,1.0891404999997576,82.20783449999999,None,83.34105060000002,None,1,left,0.9559093999996549,83.34105060000002,None,83.34105060000002,None,84.32472599999983,None,None,85.3242835199998,None,85.3242835199998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2021_Apr_09_1054,AB_pic_singleT2,2021.1.2,60.00996165378676,
AB,lag5,5,4,9,0.2,0.05,0.5,,0,6,6,6,,,,,,,,,,,uprightpiano01.jpg,whiteout.jpg,popcorn.jpg,volleyball.jpg,toad.jpg,rooster.jpg,bumpercar.jpg,bullet.jpg,calendar.jpg,banjo.jpg,masquerademask01.jpg,birdnest.jpg,church.jpg,athleticsock.jpg,baseballbat.jpg,noparkingsign.jpg,slug.jpg,85.34131500000012,88.09110090000013,87.80739270000004,None,0,0,11,88.32444009999972,None,88.32444009999972,None,.\resources\calendar.jpg,91.32381350000014,None,1,91.32381350000014,None,right,1.2611064999996415,91.32381350000014,None,92.60704970000006,None,1,right,1.20980980000013,92.60704970000006,None,92.60704970000006,None,93.84029409999994,None,None,94.84062871999996,None,94.84062871999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2021_Apr_09_1054,AB_pic_singleT2,2021.1.2,60.00996165378676,
AB,lag5,5,4,9,0.2,0.05,0.5,,0,7,7,11,,,,,,,,,,,microphone01.jpg,moose.jpg,knee.jpg,pingpongtable.jpg,showerhead01.jpg,swing.jpg,sandcastle.jpg,boxingglove01.jpg,mouse.jpg,table01.jpg,snowshovel.jpg,barrel01.jpg,banjo.jpg,squid.jpg,licenseplate.jpg,redfox.jpg,kneepad01c.jpg,94.85732199999984,97.60709409999981,97.34044760000006,None,1,1,11,97.84001059999991,None,97.84001059999991,None,.\resources\mouse.jpg,100.85645560000012,None,1,100.85645560000012,None,left,1.248708699999952,100.85645560000012,None,102.1397066999998,None,1,left,0.8771478000003299,102.1397066999998,None,102.1397066999998,None,103.03963759999988,None,None,104.03956041999973,None,104.03956041999973,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2021_Apr_09_1054,AB_pic_singleT2,2021.1.2,60.00996165378676,
AB,lag2,2,5,7,0.2,0.05,0.5,,0,8,8,9,,,,,,,,,,,bowlingpin.jpg,foldingchair.jpg,rose.jpg,apron.jpg,lizard.jpg,toilet.jpg,humanskeleton.jpg,tricycle.jpg,urinal.jpg,locker.jpg,snowboard.jpg,table01.jpg,kite.jpg,bow.jpg,kneepad01c.jpg,beerbottle.jpg,fishskeleton.jpg,104.05623019999985,106.80642970000008,106.52316199999996,None,0,1,9,107.03934849999996,None,107.03934849999996,None,.\resources\humanskeleton.jpg,109.53917090000004,None,1,109.53917090000004,None,right,1.4857193999996525,109.53917090000004,None,111.05572500000017,None,1,left,1.329120299999886,111.05572500000017,None,111.05572500000017,None,112.40562409999984,None,None,113.40555612000017,None,113.40555612000017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2021_Apr_09_1054,AB_pic_singleT2,2021.1.2,60.00996165378676,
