trialType,cndTyp,lag,T1_loc,T2_loc,stimLen,isi,skipProb,phase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,textbox.started,textbox.stopped,img0,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,img11,img12,img13,img14,img15,img16,option1.started,option1.stopped,text_2.started,text_2.stopped,skip1,skip2,lastPresent,displayPicture.started,displayPicture.stopped,polygon_2.started,polygon_2.stopped,opt1_t1,polygon_4.started,polygon_4.stopped,cor1,option1_t1.started,option1_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon_5.started,polygon_5.stopped,cor2,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,textbox_2.started,textbox_2.stopped,textbox_3.started,textbox_3.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,textbox_6.started,textbox_6.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,textbox_4.started,textbox_4.stopped,option1_3.started,option1_3.stopped,text_7.started,text_7.stopped,curStimTim,displayPicture_4.started,displayPicture_4.stopped,polygon_16.started,polygon_16.stopped,polygon_7.started,polygon_7.stopped,option1_t1_2.started,option1_t1_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon_17.started,polygon_17.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,textbox_5.started,textbox_5.stopped,B0,B1,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,space,4.715506799999275,9.121712400000433,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2021_Apr_08_1357,AB_pic_singleT2,2021.1.2,60.02044296306862,
AB,lag5,5,4,9,0.2,0.05,0.5,,0,0,0,11,,,,,,,,,9.121712400000433,None,airhockeytable.jpg,makiroll.jpg,banjo.jpg,smokingpipe.jpg,spear02.jpg,harmonica.jpg,snowshovel.jpg,ironingboard01.jpg,lollipop04.jpg,bowlingball.jpg,chefshat.jpg,tire.jpg,callbell.jpg,doghouse.jpg,moose.jpg,toolbox02.jpg,pumpkin.jpg,13.895290600000408,16.644644099999823,16.378000800000336,None,0,0,11,16.89463749999959,None,16.89463749999959,None,.\resources\lollipop04.jpg,19.894421599999987,None,1,19.894421599999987,None,right,2.7587731999992684,19.894421599999987,None,22.694604700000127,None,1,right,1.9985616999993,22.694604700000127,None,22.694604700000127,None,24.74444140000014,None,None,25.744365650000326,None,25.744365650000326,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2021_Apr_08_1357,AB_pic_singleT2,2021.1.2,60.02044296306862,
AB,lag3,3,5,8,0.2,0.05,0.5,,0,1,1,10,,,,,,,,,,,car.jpg,kite.jpg,barrel01.jpg,lizard.jpg,dartboard.jpg,magneticcompass.jpg,giraffe.jpg,bullet.jpg,worldmap.jpg,kneepad01c.jpg,tank.jpg,drumset.jpg,parachute.jpg,ear.jpg,nose.jpg,bed.jpg,whiteout.jpg,25.761044400000173,28.51083159999962,28.22755099999995,None,1,1,10,28.74415549999958,None,28.74415549999958,None,.\resources\bullet.jpg,31.493541300000288,None,1,31.493541300000288,None,left,2.1915853999998944,31.493541300000288,None,33.726700000000164,None,1,left,1.6385107999994943,33.726700000000164,None,33.726700000000164,None,35.39322979999997,None,None,36.393221749999974,None,36.393221749999974,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2021_Apr_08_1357,AB_pic_singleT2,2021.1.2,60.02044296306862,
AB,lag2,2,3,5,0.2,0.05,0.5,,0,2,2,4,,,,,,,,,,,guitarcase.jpg,tennisracket.jpg,flamingo.jpg,dormer.jpg,lighthouse.jpg,fridge.jpg,pooltable.jpg,hand01b.jpg,chair.jpg,doghouse.jpg,banjo.jpg,tortoise01.jpg,slug.jpg,mattress.jpg,chefshat.jpg,fortunecookie.jpg,paperairplane.jpg,36.409841900000174,39.16000890000032,38.876711400000204,None,1,0,7,39.393309600000066,None,39.393309600000066,None,.\resources\lighthouse.jpg,41.39280189999954,None,1,41.39280189999954,None,left,2.188467299999502,41.39280189999954,None,43.62597360000018,None,1,right,3.1631454999997004,43.62597360000018,None,43.62597360000018,None,46.809075699999994,None,None,47.8094149499997,None,47.8094149499997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2021_Apr_08_1357,AB_pic_singleT2,2021.1.2,60.02044296306862,
AB,lag1,1,4,5,0.2,0.05,0.5,,0,3,3,12,,,,,,,,,,,discoball.jpg,candycane01a.jpg,uprightpiano01.jpg,kiwi03.jpg,hockeystick.jpg,giraffe.jpg,tarantula.jpg,cupcake.jpg,jeep.jpg,hand01b.jpg,sandcastle.jpg,trumpet.jpg,lollipop04.jpg,ipad02.jpg,safe.jpg,cork02.jpg,pooltable.jpg,47.82605119999971,50.57585000000017,50.30920349999997,None,1,0,7,50.808791100000235,None,50.808791100000235,None,.\resources\hockeystick.jpg,52.825299400000404,None,1,52.825299400000404,None,left,1.8039297000004808,52.825299400000404,None,54.675172600000224,None,1,right,1.017942999999832,54.675172600000224,None,54.675172600000224,None,55.74177200000031,None,None,56.74168314999988,None,56.74168314999988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2021_Apr_08_1357,AB_pic_singleT2,2021.1.2,60.02044296306862,
AB,lag2,2,5,7,0.2,0.05,0.5,,0,4,4,9,,,,,,,,,,,bed.jpg,tricycle.jpg,toilet.jpg,trophy01.jpg,bullet.jpg,parkingmeter.jpg,armadillo.jpg,bench01.jpg,helicopter.jpg,granolabar01.jpg,bowtie.jpg,bat.jpg,panda.jpg,triangle.jpg,steeringwheel.jpg,lizard.jpg,grizzly.jpg,56.75835339999958,59.5081995999999,59.24162290000004,None,1,1,9,59.74154490000001,None,59.74154490000001,None,.\resources\armadillo.jpg,62.258008699999664,None,1,62.258008699999664,None,left,1.2751370999994833,62.258008699999664,None,63.59124619999966,None,1,left,1.0778898999997182,63.59124619999966,None,63.59124619999966,None,64.72492429999966,None,None,65.72483545000014,None,65.72483545000014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2021_Apr_08_1357,AB_pic_singleT2,2021.1.2,60.02044296306862,
AB,lag1,1,3,4,0.2,0.05,0.5,,0,5,5,3,,,,,,,,,,,pirateflag.jpg,football.jpg,pingpongtable.jpg,boat.jpg,parkfountain.jpg,sword01.jpg,parrot01.jpg,drumset.jpg,sink.jpg,waterfountain02.jpg,humanskeleton.jpg,jellybean.jpg,table01.jpg,mrpotatohead.jpg,cork02.jpg,dreamcatcher.jpg,parkingmeter.jpg,65.74150379999992,68.49088889999985,68.20759280000038,None,0,0,6,68.72420200000033,None,68.72420200000033,None,.\resources\boat.jpg,70.47406909999972,None,1,70.47406909999972,None,right,1.6031652000001486,70.47406909999972,None,72.12439069999982,None,1,right,0.784707900000285,72.12439069999982,None,72.12439069999982,None,72.95764990000043,None,None,73.9575950499997,None,73.9575950499997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2021_Apr_08_1357,AB_pic_singleT2,2021.1.2,60.02044296306862,
AB,lag5,5,4,9,0.2,0.05,0.5,,0,6,6,6,,,,,,,,,,,skippingrope.jpg,pingpongtable.jpg,swing.jpg,bench01.jpg,vacuumcleaner01.jpg,flamingo.jpg,microphone01.jpg,slug.jpg,cloud.jpg,sword01.jpg,toolbox02.jpg,hockeypuck.jpg,sandcastle.jpg,greatwhiteshark.jpg,badmintonracket.jpg,spiderweb.jpg,jeep.jpg,73.97392450000007,76.72361829999954,76.44030199999997,None,1,0,11,76.94026899999972,None,76.94026899999972,None,.\resources\cloud.jpg,79.95671969999967,None,1,79.95671969999967,None,left,1.1283462000001236,79.95671969999967,None,81.10659849999956,None,1,right,0.8186313999995036,81.10659849999956,None,81.10659849999956,None,81.97320299999956,None,None,82.97359894999991,None,82.97359894999991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2021_Apr_08_1357,AB_pic_singleT2,2021.1.2,60.02044296306862,
AB,lag7,7,4,11,0.2,0.05,0.5,,0,7,7,2,,,,,,,,,,,ant.jpg,dartboard.jpg,drumset.jpg,toilet.jpg,foot.jpg,parachute.jpg,stool01.jpg,cloud.jpg,boxingglove01.jpg,chefshat.jpg,skunk.jpg,candycane01a.jpg,lion.jpg,hand01b.jpg,bat.jpg,steeringwheel.jpg,toyanimal05.jpg,82.98980599999959,85.74000830000023,85.45670020000034,None,0,1,13,85.97333640000033,None,85.97333640000033,None,.\resources\skunk.jpg,89.47266390000004,None,1,89.47266390000004,None,right,1.1964098000007652,89.47266390000004,None,90.68924640000023,None,1,left,2.7958385000001726,90.68924640000023,None,90.68924640000023,None,93.50613429999976,None,None,94.50603964999974,None,94.50603964999974,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2021_Apr_08_1357,AB_pic_singleT2,2021.1.2,60.02044296306862,
AB,lag3,3,3,6,0.2,0.05,0.5,,0,8,8,5,,,,,,,,,,,snowboard.jpg,ironingboard01.jpg,foldingchair.jpg,well.jpg,bathtub.jpg,fireplace.jpg,pokerchips.jpg,fortunecookie.jpg,bluejay.jpg,smokingpipe.jpg,mailbox02.jpg,acorn.jpg,cocktailshrimp02.jpg,cloud.jpg,tie02.jpg,toucan.jpg,cork02.jpg,94.5227117000004,97.27249610000035,96.98919690000002,None,1,1,8,97.48875109999972,None,97.48875109999972,None,.\resources\fireplace.jpg,99.75525319999997,None,1,99.75525319999997,None,left,1.5218616999991355,99.75525319999997,None,101.32181750000018,None,1,left,1.0753242999999202,101.32181750000018,None,101.32181750000018,None,102.42171609999968,None,None,103.42163614999973,None,103.42163614999973,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2021_Apr_08_1357,AB_pic_singleT2,2021.1.2,60.02044296306862,
